City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,3.49,97,100,5.44,US,1714646251
1,jiexiu,37.0244,111.9125,21.48,23,84,4.57,CN,1714646251
2,port-aux-francais,-49.35,70.2167,4.45,74,82,13.34,TF,1714646251
3,bethel,41.3712,-73.414,12.02,89,100,2.06,US,1714646209
4,edinburgh of the seven seas,-37.0676,-12.3116,13.13,62,10,6.09,SH,1714646252
5,zaozersk,69.4005,32.4476,-0.43,78,97,3.34,RU,1714646252
6,bilibino,68.0546,166.4372,-12.1,83,19,2.7,RU,1714646252
7,puerto natales,-51.7236,-72.4875,1.17,91,99,1.7,CL,1714646252
8,lewistown,40.5992,-77.5714,17.53,87,0,0.0,US,1714646132
9,shimokizukuri,40.8061,140.3861,13.3,75,0,0.89,JP,1714646252
10,envira,-7.3,-70.2167,22.81,98,48,0.47,BR,1714646253
11,avarua,-21.2078,-159.775,26.03,73,75,7.2,CK,1714646253
12,tura,25.5198,90.2201,38.72,7,19,5.26,IN,1714646253
13,geraldton,-28.7667,114.6,25.23,53,56,2.57,AU,1714646253
14,albany,42.6001,-73.9662,13.98,86,68,0.89,US,1714646253
15,lihue,21.9789,-159.3672,23.77,79,40,5.66,US,1714646253
16,punta arenas,-53.15,-70.9167,4.06,87,100,4.12,CL,1714646096
17,kone,-21.0595,164.8658,20.05,86,82,1.23,NC,1714646253
18,beberibe,-4.1797,-38.1306,26.36,85,97,3.94,BR,1714646253
19,talnakh,69.4865,88.3972,-11.55,85,100,3.51,RU,1714646253
20,blackmans bay,-43.0167,147.3167,10.07,83,50,2.64,AU,1714646253
21,riyadh,24.6877,46.7219,29.08,19,0,5.9,SA,1714646118
22,luderitz,-26.6481,15.1594,24.52,52,0,5.06,NA,1714646253
23,superior,46.7208,-92.1041,8.58,89,0,2.57,US,1714646052
24,ushuaia,-54.8,-68.3,2.81,87,75,3.09,AR,1714646253
